year,atar,aggregate
2021,99.95,478.8
2021,99.5,458.7
2021,99.0,448.0
2021,98.0,433.7
2021,95.0,404.8
2021,90.0,369.8
2021,85.0,340.2
2021,80.0,313.5
2021,75.0,288.0
2021,70.0,263.8
2021,65.0,239.8
2021,60.0,217.2
2021,55.0,195.4
2021,50.0,172.8
2022,99.95,478.1
2022,99.5,459.9
2022,99.0,449.1
2022,98.0,434.3
2022,95.0,404.6
2022,90.0,368.9
2022,85.0,338.9
2022,80.0,310.9
2022,75.0,285.2
2022,70.0,259.5
2022,65.0,234.4
2022,60.0,210.4
2022,55.0,186.4
2022,50.0,162.8
2023,99.95,479.8
2023,99.5,459.3
2023,99.0,449.5
2023,98.0,435.0
2023,95.0,405.5
2023,90.0,370.0
2023,85.0,340.2
2023,80.0,313.0
2023,75.0,287.4
2023,70.0,261.8
2023,65.0,236.8
2023,60.0,212.5
2023,55.0,188.2
2023,50.0,164.3
2024,99.95,477.4
2024,99.5,455.9
2024,99.0,445.6
2024,98.0,431.6
2024,95.0,403.5
2024,90.0,369.2
2024,85.0,340.2
2024,80.0,312.6
2024,75.0,286.2
2024,70.0,260.6
2024,65.0,235.4
2024,60.0,210.1
2024,55.0,185.3
2024,50.0,160.6
2025,99.95,479.4
2025,99.5,459.4
2025,99.0,447.8
2025,98.0,433.2
2025,95.0,404.6
2025,90.0,370.7
2025,85.0,341.6
2025,80.0,313.8
2025,75.0,287.5
2025,70.0,262.0
2025,65.0,237.2
2025,60.0,212.9
2025,55.0,190.0
2025,50.0,165.7
