year,course,number,hsc_mean,hsc_sd,hsc_max,hsc_p99,hsc_p90,hsc_p75,hsc_p50,hsc_p25,scaled_mean,scaled_sd,scaled_max,scaled_p99,scaled_p90,scaled_p75,scaled_p50,scaled_p25
2021,Aboriginal Studies,704,34.8,7.7,49.0,48.0,45.0,41.0,34.5,30.0,15.2,12.8,46.4,44.7,36.5,24.2,10.6,4.9
2021,Agriculture,1496,35.7,7.3,49.0,48.0,45.0,41.5,36.0,30.5,19.0,11.1,45.5,43.5,36.2,27.2,17.6,10.0
2021,Ancient History,6375,35.8,7.8,50.0,47.5,44.5,41.5,37.0,31.0,23.2,10.9,49.4,44.7,38.1,31.9,23.3,14.8
2021,Biology,18708,36.9,5.5,49.0,47.0,44.0,41.0,37.0,33.5,25.9,10.1,50.0,45.5,39.3,33.8,26.2,18.3
2021,Business Studies,17662,36.9,6.4,49.5,47.5,44.5,41.5,37.5,33.0,23.9,10.7,49.4,45.0,38.4,32.3,23.9,15.5
2021,Chemistry,9884,37.4,6.2,50.0,48.0,45.0,42.5,38.0,33.0,31.5,9.9,50.0,47.6,43.6,39.7,33.0,24.5
2021,Community & Family Studies,8913,37.3,4.9,50.0,47.0,43.5,40.5,37.5,34.0,18.9,10.4,44.2,40.9,34.0,26.8,18.0,10.3
2021,Dance,905,39.9,4.8,50.0,49.0,45.0,43.5,40.5,37.0,23.7,11.3,48.4,46.8,39.5,32.6,23.3,15.0
2021,Design & Technology,3429,39.8,5.1,49.5,48.5,46.0,43.5,40.5,36.5,22.6,10.6,48.2,45.1,37.5,30.8,22.1,14.2
2021,Drama,3938,39.5,5.0,50.0,49.5,46.5,43.5,39.0,36.0,23.8,10.9,49.5,47.6,39.0,31.9,23.1,15.3
2021,Earth & Environmental Science,2328,36.3,5.7,47.5,46.0,43.5,40.5,37.0,32.5,22.5,10.6,47.8,44.1,37.4,30.2,22.3,14.0
2021,Economics,5043,39.0,5.4,49.5,48.0,45.5,43.0,40.0,35.5,31.9,9.4,50.0,46.8,43.0,39.2,33.3,25.7
2021,Engineering Studies,2400,37.7,5.4,50.0,48.0,45.0,41.5,37.5,34.0,26.1,9.5,48.7,44.7,38.7,33.2,26.1,19.2
2021,English Studies Exam,1357,28.1,6.4,42.5,39.5,34.0,32.0,29.0,26.0,9.3,6.1,35.3,28.9,17.3,12.9,8.2,4.7
2021,English Standard,31341,35.4,4.5,48.5,44.0,41.0,38.5,35.5,33.0,20.2,8.3,47.9,39.4,31.4,26.0,19.9,14.2
2021,English Advanced,24409,41.2,3.8,49.5,48.0,45.5,44.0,41.5,39.0,32.2,8.3,50.0,46.5,42.3,38.5,33.2,26.9
2021,English EAL/D,1879,35.4,5.7,50.0,46.0,42.0,39.5,36.0,32.0,21.9,10.8,48.2,44.8,37.1,30.4,21.0,13.2
2021,English Extension 1,3415,42.6,4.6,50.0,49.0,47.0,46.0,44.0,40.0,36.6,6.7,50.0,47.5,44.1,41.5,37.5,33.2
2021,English Extension 2,1308,40.2,5.7,50.0,49.0,47.0,45.0,41.0,37.0,36.6,6.5,50.0,48.4,44.5,41.4,37.2,32.7
2021,Food Technology,3623,36.9,6.4,49.5,48.5,45.0,42.0,37.5,32.5,19.0,11.4,45.4,43.3,35.4,28.3,18.0,9.0
2021,Geography,4438,38.1,5.6,49.0,47.0,44.5,42.5,39.0,34.5,25.3,10.9,50.0,46.2,39.7,33.8,25.8,17.1
2021,Industrial Technology,5667,35.0,6.9,49.5,47.5,43.5,40.0,35.0,30.5,17.2,10.1,41.6,38.8,31.9,25.0,15.9,8.9
2021,Information Processes & Technology,1897,35.7,6.9,49.0,47.5,44.5,41.0,36.0,31.0,22.7,11.0,48.8,45.0,37.8,31.2,22.5,14.5
2021,Investigating Science,2852,38.0,5.4,48.0,47.0,44.5,42.0,38.5,35.0,20.3,10.6,45.8,42.5,34.8,28.4,19.9,11.8
2021,Legal Studies,10693,37.6,6.7,49.0,48.0,45.5,43.0,38.5,33.5,25.0,11.0,50.0,45.9,39.8,33.9,25.3,16.3
2021,Mathematics Standard 1 Exam,1461,34.7,6.1,49.0,46.5,42.5,38.5,35.0,31.0,13.0,8.8,34.7,32.9,26.2,19.1,11.7,5.1
2021,Mathematics Standard 2,30035,34.8,6.8,50.0,47.5,43.5,39.5,35.0,30.5,22.1,10.0,45.9,42.6,36.2,29.9,21.6,14.1
2021,Mathematics Advanced,16769,39.4,6.2,50.0,49.0,47.0,44.5,40.0,35.5,31.4,9.4,50.0,47.7,43.1,38.8,32.3,25.1
2021,Mathematics Extension 1,8547,39.4,8.3,50.0,49.5,48.0,46.0,42.0,34.0,39.9,7.7,50.0,49.3,47.5,45.5,42.0,36.4
2021,Mathematics Extension 2,3193,41.8,6.0,49.5,49.0,47.5,46.5,44.0,38.5,44.0,5.0,50.0,49.6,48.5,47.3,45.4,42.3
2021,Modern History,10890,36.6,7.2,49.5,47.5,45.0,42.0,37.5,32.5,25.3,10.9,50.0,45.7,39.6,33.9,25.9,17.1
2021,History Extension,1742,39.1,6.4,50.0,49.0,47.0,44.0,40.0,35.0,33.4,7.5,50.0,46.9,42.8,38.7,33.8,28.7
2021,Music 1,4697,40.9,4.6,50.0,49.0,46.5,44.0,41.5,38.0,21.1,10.8,47.0,44.5,36.5,28.9,20.3,12.5
2021,Music 2,710,43.9,3.3,49.5,49.5,48.0,46.5,44.5,42.0,33.5,8.9,50.0,49.4,44.9,40.4,34.2,27.2
2021,Music Extension,381,44.8,5.0,50.0,50.0,50.0,49.0,46.0,42.0,35.2,9.6,50.0,50.0,47.9,42.9,35.9,27.5
2021,PDH&PE,16482,36.3,5.9,49.5,47.0,44.0,41.0,36.5,32.5,23.1,10.5,48.5,44.3,37.9,31.3,22.6,14.9
2021,Physics,7922,37.9,5.9,49.5,48.0,45.0,42.5,38.5,34.0,30.6,10.0,50.0,47.1,42.8,38.8,31.8,23.6
2021,Science Extension,715,37.5,5.1,49.0,47.0,45.0,41.0,37.0,34.0,33.5,7.4,50.0,47.7,43.8,38.9,33.6,28.8
2021,Society & Culture,4739,38.7,5.6,49.5,48.0,45.5,43.0,39.0,35.5,23.4,10.6,48.5,44.9,37.9,31.6,23.1,15.1
2021,Software Design & Development,1714,37.3,6.1,49.5,48.5,45.5,42.0,37.5,33.0,25.6,10.9,50.0,47.4,40.6,34.0,25.2,17.1
2021,Studies of Religion I,8389,37.8,5.7,50.0,48.0,45.0,42.0,38.0,33.0,27.6,9.1,48.8,45.0,39.5,34.6,27.8,20.8
2021,Studies of Religion II,6132,38.2,5.9,49.5,47.5,45.0,43.0,39.0,34.0,27.5,10.0,50.0,45.7,40.2,35.3,28.3,20.4
